username,user_url,rating,time,content,votes,comment_id
朝阳区妻夫木聪,https://www.douban.com/people/Invisible___/,4,2025-10-18 02:30:17,好过瘾，国内大银幕上的确鲜少看到如此立场鲜明政治色彩浓重的作者电影，看得人浮想联翩的。尽管整体走向是以荒诞幽默和讽刺作为主基调，但是节奏还有氛围把控依旧是出神入化的精彩，导演意识从头到尾盘踞在银幕内外，精准且有效。配乐非常有特色，联同角色内心变化一起，把观众的心也紧紧揪着。身体即政治，生存即斗争，既然这辈子没有让世界变得更好，那就一战再战，反正来日方长。回来刷了一下评论区真是给各位精神白男气笑了。我认为全世界最会摆弄各种东西左右是非主义的人都活跃在你瓣评论区，在一个日常完全政治真空的语境下跑来在一部电影面前充当外宾，这真的很典。,387,4633601828
舌在足矣,https://www.douban.com/people/shezaizuyi/,3,2025-09-28 07:40:23,本片证明了PTA对大场面的驾驭能力，尤其是最后一场追车戏，以超低的贴地机位将起伏的公路拍得波涛汹涌，宛如陆地行舟。但作为PTA少有的情节而非人物驱动的剧本，无论是革命分子还是种族主义者都扁平得如卡通人物，各种热点政治话题最终也只能沦为背景装饰；而贯穿始终以笑料呈现的小李子死活记不起接头暗号才是影片题眼：确定人与人的连接的绝对不是什么口号式的意识形态或者种族身份，而是真实的情感，是你最喜欢的pussy，是16年的父女情。因此父女团聚之后的部分实在是画蛇添足,1321,4125110143
HarperDie,https://www.douban.com/people/1591741/,5,2025-09-24 20:13:36,读懂品钦的作品更难，还是耐住焦思翻阅更难？PTA给出一个轻盈的影像解法：一场猫鼠游戏般的血脉逐鹿。少女Willa像是美利坚禁果，围绕她的诞生、隐匿、消失、追捕，匪夷所思地牵扯整个社会。母亲Perfidia则如盗火的普罗米修斯，血液中引导着自由不灭。镜头不动声色地盘剥着种族主义、移民问题、白人至上等美国社会症结，过去几十年并未改善，甚至在一波波嗜血狂欢后，荒唐才是常态。这是对于一个女孩躲藏与追缉扣人心弦的描绘，更是对于自由被迫藏匿、任凭腐坏追缉的当代浮世绘。你的情绪完全被视听的游刃有余所引领，并在故事终点迎来情感的山呼海啸，安德森的编导掌控力令人咋舌。这样的自由度也令西恩·潘、缇雅娜·泰勒、小李等一众演员激发超越本我的动人演绎，一切都是这么的恰到好处，PTA的集大成之作，2025年最好的电影。,844,4649543095
大奇特(Grinch),https://www.douban.com/people/grinch/,4,2025-09-25 01:04:54,平遥影展观看。没想到是这么劲的黑色喜剧，观感上也没觉得有160分钟那么长。跨代叙事、类型拼贴，政治暴力渗透私人生活，夹杂荒诞冒险，带有卡通化的讽刺。PTA导演风格强烈，让这个信息量庞杂的故事完全能够成立，剪辑上狠抓节奏，一直没掉线。父母辈的激进运动，下一代的困惑成长，但余波不是来自政治运动，而是反派的执念。除了结局，一直都猜不到故事走向，第三幕的公路片也空间困局，在紧张中不断制造滑稽。最大亮点是西恩潘的老警官，他的痴恋、权欲、投机心态绑在一起，可怕和可笑交织。小李子这种身份错位也天然具备黑色幽默感，他更多的是来自处境上的荒谬，也是他最有魅力的特质。,350,4649820103
齐柏林某人,https://www.douban.com/people/168836823/,4,2025-10-22 00:35:25,非常好看，好莱坞那么多追车戏还没看过直着追的,183,4672116587
张小北,https://www.douban.com/people/xzfd/,4,2025-10-18 20:11:49,这个电影有 2 小时 40 分钟，但它不是喜剧，不是动作片，也不是严肃剧情片，它就是一部典型的 PTA 电影。不知是本性使然还是无意插柳又或是导演调教，反正小李现在找到了一个遥遥领先的赛道：带点疯癫和童真的油腻中年男人。用“浑然天成”这种词来形容小李在本片中的表演，我都不知道这算夸奖还是在蛐蛐他……题材+PTA+小李+西恩·潘的组合，估计明年奥斯卡奖也会大丰收，小李弄不好会再拿个小金人。,177,4669640389
Ankh,https://www.douban.com/people/202712557/,2,2025-10-18 21:08:16,你们夸啥呢？这片子要是国产片，不就是一坨么？,695,4669691113
凰天先生,https://www.douban.com/people/185732693/,3,2025-09-24 20:47:20,其实挺无聊的，在爆裂的开场半小时后，后续的情节基本是可以预期的，观看的过程中不断在想有必要排这么长吗。本片说白了就是左派缴文，狂骂保守派，嘲笑有毒男性气概下他们是gay，愿意被四爱，但也骂了lgbt，搞不懂pta立场，鉴定为崆峒。本片压中了ice抓捕非法移民的时代议题，可以和现实事件挂钩，这是他能加大分的地方。,672,4649568726
RioLiv,https://www.douban.com/people/masondixon/,5,2025-09-25 00:58:06,他在骗人，这根本不是“不一样的改编”，这是完美的Vineland改编，拥有Vineland的一切，形形色色的人类拼图，一本正经又藏着情感暗流的幽默，流行文化的“污染”，还有Pynchon永远在写的黑暗引擎与明暗之战，不同的是PTA给出了比Pynchon更黑暗的事实，却在最后用无限的温柔与真挚铺开了长长的比Pynchon更乐观的结尾，被极端的境遇激发和重启的自由与爱，Pynchon说得很隐晦，然而PTA丝毫不掩饰地将它们挥洒出来，美得像反事实。鲁莽的意识和精神无法控制地与霸权暴君调情的时候，Pynchon只送来了小狗舔脸的慰藉，而PTA说，爱一定是答案。,561,3861026171
鱼剑,https://www.douban.com/people/yujianmovie/,5,2025-09-25 00:20:41,影像调度精彩绝伦，叙事走向诡谲莫测，整体充满诙谐、幽默、讽刺、黑色、悬疑的混合气质，以举重若轻的方式回答着这个时代最复杂的议题。,519,4649784256
有光,https://www.douban.com/people/251327420/,1,2025-09-24 19:59:07,"本来想给两星，看到The Wrap报道PTA谈查理柯克遇刺事件，就会发现他还是拎得清大是大非的，那么他拍这片纯属投好莱坞白左所好想拿奖，于是我怒打一星吧。不知道这个事件有没有让PTA还有给这片好评的影评人们意识到自己才是那个小丑。
预告片就那么几场动作戏翻来覆去放，到了正片发现真的就那么几场戏。“美国是一个法西斯警察国家”——故事就是在白左幻想的世界为前提下成立。即便这个前提是真的，想看看PTA有没有充足论据来论证白左的正义性，结果他根本不是来跟你讲道理的，就无脑黑右派，靠动作戏来取代严肃的反思。这是个右派说几句常识，就会受到死亡威胁的时代，还搁那意淫自己最伟光正，真是老太太的裹脚布，又臭又长。",677,4649532918
弗兰西斯的哈哈,https://www.douban.com/people/67545092/,5,2025-10-18 23:25:32,看看人家怎么拍社会派系和政治隐喻，太强了，一部电影把美国以前发生、现在正在发生、未来还会继续发生的事说得清清楚楚，真正的革命者不知所踪，曾经的英雄意志消沉耽于酗酒磕药，建制派的鹰犬面目全非死于非命，而他们的孩子接过自由的旗帜踏上革命之路。,494,4669840085
Mercury,https://www.douban.com/people/mercury1c4hy/,3,2025-09-24 19:59:13,一人血书求pta拍回不羁夜和私恋失调 最喜欢的部分是最后的追逐戏和路面起伏的设计 其他比较无感,384,4637692676
Kinyuan,https://www.douban.com/people/kinyuan/,2,2025-09-24 05:27:46,One Eddington After Another——但屁股还算“正”。反种族主义：一面是白人至上政府组织追杀种族混合者及其产物，一面是多元种族联合（亚裔代表以日语词汇存在而不是面孔）保卫家庭与爱。黑人女性追求自由抛夫弃子颠倒母职叙述，白男“老左派”要被“新左派”教育尊重非二元人称代词，即使更换身份遗忘革命，在麻醉和家庭中苟活也免不了被卷入过去的纠葛。社会正义是一场又一场的战斗。剧本粗糙欠打磨，看之前没想到是商业喜剧，现在觉得被引进倒也合理了。,422,4491432430
OhHiMark,https://www.douban.com/people/131179524/,5,2025-10-19 00:11:21,既骂左派也骂右派的讽刺喜剧，左派是激进的、多元化的、自私的、充满私欲的、互相背叛的暴徒；右派是残忍的、傲慢的、拥有等级森严的权力关系秩序的、无条件服从alpha指挥的工蚁；但其实大部分米国人是小李，核心追求是家庭，是稳定的生活，想要的只是世俗的幸福。他们并非效忠于阵营的理念，而是效忠于自己的家庭。所以他们会在荷尔蒙的冲动下不明所以加入某个阵营、在热恋时期义无反顾地为阵营冲锋，又在拥有孩子之后希望回归家庭、结束激进的生活，家庭破裂后麻痹自己、陷入自暴自弃的低谷，最后又在家庭结构受到威胁时再次去战斗。他们想要的只是家庭这一小单位的稳定，但在动荡的冲突的大环境下，每个人都深陷于左右两派的斗争之中，于是他们在迷茫中卷入一场又一场战斗。,468,4639400382
绿苡,https://www.douban.com/people/52873518/,4,2025-09-24 05:01:01,好幽默，喜欢。虐待老李头看得我嘎嘎乐。看到一半才意识到原来sensei是日语的sensei呀！喜欢前期Perfidia和女儿的塑造，很新的女性银幕形象，结尾反而有些落俗了。,263,4641640892
扒拉一下,https://www.douban.com/people/125742898/,5,2025-10-19 15:48:56,老李子演窝囊废给人已经是在本色出演的感觉了,385,4670294933
Virgil,https://www.douban.com/people/virgilzhou/,4,2025-09-27 13:39:01,@ Premiere Elements｜居然还挺喜欢（我其实对PTA只是路好所以没什么期待），节奏OK快三小时不觉长。故事太幽默了我超西恩潘那条线全程给我笑得啊……这个幽默四爱大片开头我从“Get it up“那场戏就开始憋笑，不愧是研究无数porn起家的人拍的……最后那个reversed rape和gas chamber直接给我笑飞了（西恩潘有时瞅着蜜汁帕西诺草）。女革命者抛家弃女卢瑟男妈妈带大后女儿传承老妈革命之血。女儿不需要老爸救，白男没一个好东西——感觉PTA写本子精神状态已领先大量老白男。配乐一听就猜到又是绿木写的。另外本妮笑角色还OK戏份比我想得多（我本来就是看他来的）。PTA居然能把老李头拍得不讨厌，不过因为现实中认识Bob那种性格和造型的白男所以开头一直在跳戏（过于生草）。,178,4491435739
凌凌子！,https://www.douban.com/people/147172652/,3,2025-10-19 23:06:23,成功打破了人们对黑人小孩没爸爸的偏见——她也可能没妈妈。,372,4670666182
欧,https://www.douban.com/people/Omnivore_03343/,5,2025-09-24 23:53:54,"Tonight, we cry for CINEMA.",319,4649758962
米粒,https://www.douban.com/people/conanemily/,5,2025-09-28 22:36:41,大可以说单纯这样“老派的”愤怒型左派多么地无解和需要变革，但PTA的落脚点自然也是这个态度，不论是结尾还是女孩和本尼西奥德托罗的角色都让人感到无限的希望和温柔，还有力量。El Paso附近上下起伏的无尽公路和高潮段落的剧情结合在一起实在令人拍案叫绝。感叹了无数次这样一个割裂又失真但又一次又一次地把人拉回真实世界的社会现实，真的太美国了，PTA从出道到现在拍的一切关于美国的故事都是这样，他一点都不怪，不黑暗，我觉得很真甚至很温柔。大银幕的70毫米加绿木的配乐实在是至尊享受！！（另：🤣短评里的右派真是毫无遮掩呢，西恩潘的角色看了都要自愧不如。别人好歹是白人呢。）,233,4485556403
白斬糖,https://www.douban.com/people/tarkublarestami/,3,2025-09-29 12:35:35,现在看起来只感觉可笑，将所有在当下高度敏感，但只能在严肃语境中存在的议题（恐怖袭击，揭发投诚，右翼阴谋集团）炒成一锅配上爆米花便可以娱乐至死的大乱炖，恰恰证明至少对于电影制作者来说，所有被描绘的暴力，仇恨和敌对实际上完全建立在自身强大且坚实的安全感中。一个粗野但体面的笑话，一种典型的美式mannerism，即一个人假装对某件事情熟门熟路地做出犬儒的评价，但却不用对评价付出任何责任，因为他并无意成为真正做出改变的人：这也是这个国家最令人绝望的地方，所有的强硬和娴熟都是伪装的，为的是做出一种华丽却并不真正冒犯人的表象，而实际上透露出的却是冷漠，乱象丛生，血流不止却依旧歌舞升平。PTA最终也成为了奥特曼在《纳什维尔》中讽刺的美国人。,283,4653105820
信青春,https://www.douban.com/people/57569272/,3,2025-10-17 20:32:42,电影的技术充分发挥，而电影内容让人无感，不知道该怎样评价这部电影。性瘾革命黑女干将(左派)刚好是镇压革命的老白男(右派)的性偏好，两人狗血搞出一混血私生女。左女失手、被捕、叛变、出卖同党、内疚、远走他乡。右男为晋身白人顶级俱乐部，隐瞒自身历史污点，并试图清除自己的混血私生女。优点是时效性和讽刺性，把当下正在进行的边境建墙、抓捕非法移民呈现在大银幕上，有很强的冲击力，缺点是把一个严肃的社会问题变成一个混血私生女的命运问题，一个生身父母双双失范失踪的伦理问题，有点low了。前半场有历史大片的气场和感觉，后半场塌方，鸡零狗碎的挣扎逃亡。西恩潘角色明显占据优势，有演出的空间，小李子的角色沦为配角，没啥出彩的地方。我对其中的革命和革命者持保留态度，对私生女的继续革命持保留态度，对电影内容无感。,231,4668857384
Enlightening,https://www.douban.com/people/180693708/,3,2025-09-27 17:38:46,谁的生活才是真正的“一战再战”呢？是那些藏身阁楼的拉丁裔无证移民，是ICE逮捕和关押的“aliens”，是庇护城市的街坊邻居。如果大部分观众只看到所谓极左极右之间的战斗、默认各打五十大板的白人自由派视角，那不要说提供任何批判价值，《一战再战》恐怕连合乎伦理的社会观察都算不上。 影片开头调度和蒙太奇的爆发式能量，在一场又一场的战斗后被消耗殆尽，直捣ICE、白人至上主义和国家暴力的政治潜力在选择著名中年谐星莱昂纳多·迪卡普里奥作为主角时便宣告了自身的限度；对革命组织的速写和对白人至上主义团体的漫画化规避了对种族和性别动态的深入讨论，宏大的革命理想在降格为中年危机父亲寻女的老套情节后不得不以西部片的猫鼠游戏继续刺激观众的神经，以呼应“一战再战”的片名，而类型片和商业元素的阴影早已将其野心悉数遮蔽。,179,4491546658
对方,https://www.douban.com/people/Vividkid/,4,2025-10-17 23:43:40,左和右是很对称的关系，最后溶解在家哲学中。但看完我们都同意，真正的革命是sensei那种，人民战争。,135,4669029891
冰红深蓝,https://www.douban.com/people/Nokia95/,5,2025-10-19 15:13:45,不折不扣的年度十佳！1.PTA节奏最快的电影，也是首次拍摄商业动作片，展现一个包蕴了过往（一如品钦小说聚焦的60年代嬉皮&反文化）和当下（无尽对峙&内斗）的美国社会撕裂图景，观感无敌的同时颇具寓言性。2.反类型：三幕类型杂糅，凝缩的犯罪+情色+伦理片、黑色喜剧+动作惊悚、公路追逃+女性复仇；反高潮：男主无效的行动，反派高效的抓捕，顷刻结束或一击必杀的战斗；反传统人物：废柴男妈妈，离弃母职+轻易变节的头领，无情清醒又盲目的反派，聪慧而强悍的女儿。3.左右都讽刺，严肃正经却滑稽无比，荒诞不已，唯拉丁社群是中流砥柱，大师处变不惊心如止水。4.精妙配乐+歌词叙事，表演均为奥斯卡级。5.荒漠公路追车戏妙到毫巅，将空间调度剪辑用到极致，以退为进太绝。6.女儿举枪问暗号的时刻，漫长如千年。（9.0/10）,142,4670269906
Dionysus,https://www.douban.com/people/184582120/,3,2025-10-20 10:18:49,将一堆半符号化的论点进行浅显的解构，配合一个土俗烂的大团圆就结束了？以一个去政府化的视角用绿帽作为线索，讲了一个3K郇山隐修会大战倒错黑豹党女领导加西班牙国际大共运的莫名其妙的故事。沉默冷酷但有良心的刻板印第安杀手，告密的LGBTQ，解放神学的修女一枪没开被拿下，军官中了革命党的色诱术，没活硬凑的西班牙日式大师，最后还要搞西部公路片。说实话，我没看懂他想讲一个什么故事。将极左和极右都拉出来骂一顿吗？这不是废话嘛，任何智识健全的人都知道这是不对的。但你骂完后搞个烂俗大团圆是要怎样，还接着做了一个所谓的革命延续。唯一让我感兴趣的是将革命和性结合的片段，但无奈大陆还给我阉割了。鉴于看的是删减版，就勉强给个三星吧。,140,4670910682
NewMore,https://www.douban.com/people/165414546/,2,2025-10-17 20:02:27,说实话这拍得相当平淡且无趣啊，剧情俗套且没有起伏缺少爆点，人物也没有什么弧光，前半个小时是在展示什么性癖吗,288,4650515227
诺粉头子,https://www.douban.com/people/259004624/,1,2025-09-24 23:22:51,是我文化水平太低看不懂吗？为什么我觉得这个片就是彻头彻尾的无聊加不明所以加低级的黑色幽默加用大量的乐器声音掩盖导演不会把握节奏的事实呢？说实话要不是小李子和男二的精彩演技，我中途就离场了。不愿意说你是部烂片，但是绝对算不上好，在我这里没法及格#平遥国际电影展。,534,4649727286
女驸马（不婚版,https://www.douban.com/people/233944755/,1,2025-09-27 21:06:11,美国人有自己的裤裆藏雷❤️,263,4651882612
浪女,https://www.douban.com/people/221103339/,1,2025-09-26 03:08:50,很久没看过这么难看的电影了，剧情完全不讲究逻辑和连贯性，完全是梦到哪里拍哪里，浪费了我三个小时不知道导演想表达什么。毫无逻辑可言，镜头语言更是离奇，完全不理解导演怎么想的。,187,4650592688
谋杀游戏机,https://www.douban.com/people/hexiaoqin/,4,2025-09-26 11:55:57,平遥真正的“开幕片”，看完脑中浮现一句话：This is CINEMA！平时天天看的都是什么玩意儿！没有裸露和暴力镜头的zz、革命、性、反父权故事（参茶都没法剪），中间非常长的钢琴和小鼓点节奏加上莱昂纳多出彩的窝囊狼狈表演，把年轻一代的革命拍得很潮很好玩。最后三辆车在起伏的山路上遮遮掩掩地追寻也很精彩。,170,4650739436
拔剑四顾心茫然,https://www.douban.com/people/45008619/,5,2025-10-18 09:13:50,妥妥的年度十佳。与其说是一战再战，不如说是一逃再逃。新与旧，左和右，黑或白，无数理念与主义裹挟着时代浪潮不断冲击着人们，枪声孕育背叛，革命奴役自由，一场又一场战斗终究把一切轰个粉碎，世界避无可避的走向混沌。PTA用戏谑语境描绘着比当下美国更夸张但未必不是现实的疯狂图景。以白人至上为守则的激进右派日渐崩坏，老白男左派在斗争之路上疲惫不堪，而女儿则代表日渐崛起的新左派，一边流泪一边开枪，愤怒的质问每个人：你是谁？！在无法对话的世界里，一战再战成为唯一的选择，每个人都身不由己，自由与革命已经和它原本的意思相去甚远。屋顶上跳跃着的自由与危险，公路上蜿蜒起伏的恐惧感，背景乐中奔腾的不安，各种视听层面的“运动”描绘着这个时代的新浪潮。想起罗大佑《爱人同志》的歌词：怎么分也分不清左右还向前看。,174,4669213972
Fern- Heimweh,https://www.douban.com/people/171715621/,2,2025-09-25 06:09:08,真的是不知所云，还花了我六欧,312,4648307525
散井,https://www.douban.com/people/sanjingchan/,5,2025-10-04 01:19:26,热门短评对导演的政治立场评头论足并且因此大失所望的那股子劲头，不禁让人想起那些因为国内外明星动辄乳化而天天塌房的人们。｜全世界第一部IMAX全程1.43:1画幅展开的电影竟然落在PTA手上，竟然被用得如此淋漓尽致，能让人的心脏乱跳也能让人的嘴角乱翘。,184,4657264679
社会正义武士,https://www.douban.com/people/east_asia/,4,2025-10-31 19:39:30,问题还是出在缺乏党建引领上。,102,4679207838
咸菜帮老大,https://www.douban.com/people/xiancaibang/,5,2025-09-26 10:25:47,正面描寫反政府武裝分子卻成為PTA職業生涯最娛樂的項目。聲畫構建幾乎用上了十二分力，坐在座位上不知被施了什麼法，眼睛從始至終無法離開屏幕。你被PTA扔進難民營，跟著他走過一條地下通道後再走過截然相反的另一條，在陷落的城市上空跳躍，在如海浪般起伏的公路上逃亡，最後來到有著落地窗的毒氣室。走出影院，还能看短評區川粉破防作为餘興節目。,175,4650690614
C.H.B,https://www.douban.com/people/EMMA-1890/,4,2025-11-01 01:54:17,所有人都在匆匆忙忙连滚带爬 只有33从从容容游刃有余 这就是日本柔道！（bu,88,4679492545
一丢丢,https://www.douban.com/people/145213646/,1,2025-10-19 21:50:26,什么乱七八糟的，BGM响了三个小时，也不知道到底想表达什么。所谓的革命就是打砸抢烧？有毒☠️,164,4670583643
沉夕,https://www.douban.com/people/15320259/,1,2025-09-29 04:36:06,美墨边境，两个中年老登不知道在燃什么…全剧终～,107,4652941084
西楼尘,https://www.douban.com/people/xilouchen/,4,2025-10-17 22:43:25,联络器间的音乐是他的过去，试剂盒上的直线是她的未来。是英雄也是叛徒，是祸水也是缪斯，是清洗不净的血污，是掉到地板上不能吃的食物。曾以为能阉割勃起的特权，剪断不公的绞链。后来发现暗号是徒劳的，跑酷是会坠落的。曾以为能改变世界，捍卫自由，后来谈起成了少不更事，钻进地道被瓦斯熏出眼泪。,89,4668972437
🍓,https://www.douban.com/people/AStrawberry/,5,2025-10-17 19:28:38,孩子们，这才是类型杂糅,127,4662825554
双晚,https://www.douban.com/people/181723763/,4,2025-10-08 00:16:12,B+. 精细的调度、粗犷的情绪、天真的愿景，共同构成PTA矛盾的“美利坚童话”。当然是极端的（种族主义与激进左派你死我活的战斗），也是理想的（保守白人各怀鬼胎，少数族裔互帮互助），但电影追求的本非严谨的社会学观察，而是政治极化时代的情绪速写，和如同《好莱坞往事》般的美好愿望。后半段的沉浸式大逃杀即为最好的例证：一浪接一浪的叙事维持危机四伏的不确定性，调度和配乐时刻紧扼观众的喉咙，体制的围剿被提炼成纯粹的求生体验，最终在千钧一发的顶峰骤然下落，坠入温柔的爱的怀抱。在贯穿全片的荒诞和焦虑里，PTA给了一个无比乐观的结尾：口号无法拯救我们，而情感可以，而面对这个日益撕裂的世界，我们唯一能做的，或许就是永不放弃那梦幻而渺茫的希望。2025.10.5 Vistavision,84,4661055818
盖浇饭消防员,https://www.douban.com/people/168777089/,4,2025-11-02 22:02:31,"今年目前的最佳新片，电影首先要具有自己最应具备的本质品质，就是影像。天台滑板追逐戏和荒漠山丘追逐戏拍的太美了。
再说本质，黑妈说参加革命，但梆梆两枪干死黑保安，又为了暴力革命抛弃女儿，后面又背叛自己的团队，其实她是性与暴力的崇拜者，而非左翼；军官说奉行白男至上，实际上对黑人女性有性幻想，又有极强的抖m属性；而真正的极右翼雇佣非法移民，认为强行关闭非法移民工厂会导致他们吃不上好吃的炸鸡；真正的极左翼也就是大师，反而更加注重当下，抛弃掉所有振奋人心的口号和旗帜，只是井井有条地干实事，这是非常讽刺的事情。
讽刺的地方还有很多，讽刺黑妈干革命是抛弃母职，以为是什么老白男发言了，结果发现女儿亲身父亲是反派，这一下子父亲的父职也是抛弃了的。
还有太多的优点，黑色幽默，反讽，场景调度，配乐，姜文你就学吧",50,4680937312
Pluto&Piaget,https://www.douban.com/people/shutupfreud/,5,2025-10-06 02:42:41,PTA is woke in the same way that David Lynch is，他的全部智性都是审美的而他的全部政治性都来自于做个好人。这其实是反政治的正如这片其实是反archetypal革命的：革命始于性瘾，终于官僚、告密和叽里咕噜。此片中真正的革命是生活的侧影。Kids save yourselves。以及，说真的，放下手机。剧本实在太好了，三个男性主角都写得如此阴柔，包括西恩潘——尤其西恩潘，不要忘了他是返身投诚时才死的。结尾高速路，天啊草死我了（in an absolutely good way）。David Ehrlich说迪卡普里奥首次饰演了父亲而不只是一个恰好有孩子的男人。最后革命留下的唯一的遗产真的只有爱，众人就在这爱的废墟上生活,102,4659206922
狗狗游百里,https://www.douban.com/people/lfc-ynwa/,5,2025-10-26 19:27:22,sensei家那段真是混乱中不失行云流水，一直到最后sensei合上地道门、地毯自动摊平，要素丰富，同时又非常流畅，PT Anderson拍出了W Anderson喜欢的那种效果哈哈。,98,4675517574
何倩彤,https://www.douban.com/people/tenkappa/,4,2025-10-07 21:30:30,警世：要革命到老就要keep fit。肉體即意志。,58,4660837351
_,https://www.douban.com/people/4543969/,4,2025-10-19 22:15:17,我花钱去电影院就应该看这种东西！,88,4669873897
邓安庆,https://www.douban.com/people/renjiananhuo/,4,2025-11-01 09:53:33,我对老李子有一种复杂的感受：这种青筋暴露的神经质表演，十分贴合影片的这个角色，但这与他在《华尔街之狼》等一系列影片高度类似，所以在观影过程中经常有点串台的错乱感。或者换一个角度来说：他在饰演同一个人，有时候是华尔街高管，有时候是殖民者，有时候是荒野猎人，他穿行于不同的时空演绎这暴躁连绵的人生。,38,4679596382
fu*k！,https://www.douban.com/people/sweetlalalove/,1,2025-10-01 13:27:29,前30分钟生理不适，后两小时一脸懵逼……,130,4654791334
